date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_27_normalized,smart_27_raw,smart_71_normalized,smart_71_raw,smart_82_normalized,smart_82_raw,smart_90_normalized,smart_90_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,smart_211_normalized,smart_211_raw,smart_212_normalized,smart_212_raw
2023-10-01,Z3041MNT,ST4000DM000,4000787030016,1,sac0,0.0,1012.0,5.0,11.0,False,114.0,67527656.0,,,92.0,0.0,100.0,31.0,100.0,0.0,85.0,339271546.0,,,21.0,69450.0,100.0,0.0,,,100.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,100.0,2.0,97.0,6998.0,29.0,29.0,,,,,100.0,8.0,100.0,8.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,69385.0,100.0,70044490152.0,100.0,618129783727.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,AAG63XMH,HGST HUH721212ALN604,12000138625024,1,sac0,0.0,1120.0,5.0,0.0,False,100.0,0.0,100.0,0.0,163.0,405.0,100.0,25.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,40395.0,100.0,0.0,,,100.0,24.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,1515.0,99.0,1515.0,206.0,29.0,,,100.0,0.0,100.0,14.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,AAG6TG3H,HGST HUH721212ALN604,12000138625024,1,sac2,0.0,1123.0,14.0,44.0,False,100.0,0.0,100.0,0.0,100.0,0.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,39722.0,100.0,0.0,,,100.0,8.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,1774.0,99.0,1774.0,153.0,39.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,ZHZ50GCT,ST12000NM0008,12000138625024,1,sac2,0.0,1135.0,4.0,,False,57.0,173452800.0,,,90.0,0.0,100.0,14.0,100.0,936.0,74.0,25852282.0,,,63.0,33131.0,100.0,0.0,,,100.0,14.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,59.0,100.0,8590131203.0,,,50.0,50.0,,,100.0,5.0,95.0,10482.0,50.0,50.0,1.0,173452800.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,31054.0,100.0,112838596976.0,100.0,450568548262.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,ZHZ6D42R,ST12000NM0008,12000138625024,1,sac2,0.0,1138.0,2.0,30.0,False,73.0,138831616.0,,,92.0,0.0,100.0,7.0,100.0,32.0,89.0,820319258.0,,,66.0,30171.0,100.0,0.0,,,100.0,6.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,5.0,100.0,458759.0,,,56.0,44.0,,,100.0,1.0,99.0,2433.0,44.0,44.0,1.0,138831616.0,,,100.0,8.0,100.0,8.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,29779.0,100.0,109122609440.0,100.0,370753287570.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,ZLW0G7PV,ST12000NM001G,12000138625024,1,sac2,0.0,1140.0,1.0,37.0,False,80.0,91509952.0,,,92.0,0.0,100.0,7.0,100.0,88.0,84.0,4562759929.0,,,67.0,29136.0,100.0,0.0,,,100.0,7.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,8590065666.0,,,57.0,43.0,,,100.0,1.0,99.0,2238.0,43.0,43.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,28776.0,100.0,107239929984.0,100.0,321075253764.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,ZLW15TRF,ST14000NM001G,14000519643136,1,sac2,0.0,1151.0,13.0,17.0,False,61.0,189367920.0,,,90.0,0.0,100.0,8.0,100.0,1512.0,86.0,395083931.0,,,72.0,25242.0,100.0,0.0,,,100.0,8.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,31.0,100.0,0.0,,,58.0,42.0,,,100.0,1.0,99.0,3263.0,42.0,42.0,,,,,100.0,16.0,100.0,16.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,24682.0,100.0,123390259216.0,100.0,406831601916.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-04,ZA12K3T0,ST8000DM002,8001563222016,1,sac0,0.0,1033.0,13.0,23.0,False,84.0,240728088.0,,,84.0,0.0,100.0,22.0,100.0,388.0,90.0,894966912.0,,,28.0,63111.0,100.0,0.0,,,100.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,93.0,15295.0,100.0,12.0,64.0,72495.0,32.0,32.0,18.0,240728088.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,63036.0,100.0,114794844016.0,100.0,510285627638.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-04,ZA16DVXM,ST8000NM0055,8001563222016,1,sac0,0.0,1040.0,8.0,4.0,False,76.0,37740272.0,,,89.0,0.0,100.0,11.0,100.0,112.0,94.0,2553875088.0,,,35.0,57315.0,100.0,0.0,,,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,91.0,18540.0,100.0,23.0,65.0,70702.0,20.0,20.0,76.0,37740272.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,57267.0,100.0,105697561104.0,100.0,506591714282.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-04,ZA182L6H,ST8000NM0055,8001563222016,1,sac0,0.0,1044.0,0.0,44.0,False,61.0,105678752.0,,,89.0,0.0,100.0,22.0,11.0,25488.0,84.0,276541790.0,,,38.0,54597.0,100.0,0.0,,,100.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,1.0,356.0,100.0,0.0,100.0,0.0,66.0,34.0,93.0,14530.0,100.0,117.0,73.0,54966.0,34.0,34.0,80.0,105678752.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,54499.0,100.0,99181770872.0,100.0,484015399144.0,,,,,,,,,,,,,,,,,,,,,,,,
